id,text,category_id,category_name,use_llm
1,What is the MountainSeed File ID associated with this appraisal report?,1,1. Transaction Details,t
2,Who is the client for this appraisal?,1,1. Transaction Details,t
3,What is the borrower or entity associated with this transaction?,1,1. Transaction Details,t
4,What is the loan number for this transaction?,1,1. Transaction Details,t
5,What is the property name of the subject property being appraised?,2,2. Property Information,t
6,What is the property address (street number and street name) of the subject property being appraised?,2,2. Property Information,t
7,What is the address line 2 (if available) of the subject property being appraised?,2,2. Property Information,t
8,What is the city where the subject property being appraised is located?,2,2. Property Information,t
9,What is the county where the subject property being appraised is located?,2,2. Property Information,t
10,What is the state where the subject property being appraised is located?,2,2. Property Information,t
11,What is the zip code of the subject property being appraised?,2,2. Property Information,t
12,Who is the primary appraiser for this report?,3,3. Appraisal Information,t
13,What is the appraiser's license number?,3,3. Appraisal Information,t
14,What is the name of the appraisal firm that prepared this report?,3,3. Appraisal Information,t
15,What type of appraisal report was conducted?,3,3. Appraisal Information,t
16,"What is the date of the appraisal report? Respond with only the date in this format: March 21, 2024 and give me a reference on what page number you retrieve the answer",3,3. Appraisal Information,t
17,What is the purpose of the review?,4,4. Review Information,f
18,Who is the intended user of the review report?,4,4. Review Information,f
19,What is the intended use of the review report?,4,4. Review Information,f
20,What is the date of the review report?,4,4. Review Information,f
21,Who is the reviewer?,4,4. Review Information,f
63,Who is the review client for this appraisal?,1,1. Transaction Details,t
64,What is the date of the appraisal report? Provide the date and page reference where this information was found.,3,3. Appraisal Information,t
69,"Identify and list any extraordinary assumptions stated in the appraisal report. If none are noted, confirm explicitly that there are no extraordinary assumptions.",12,6. Appraisal Report Extraordinary Assumptions and/or Hypothetical Conditions (2-2(a)(xiii)),t
70,"Identify and list any hypothetical conditions stated in the appraisal report. If none are noted, confirm explicitly that there are no hypothetical conditions.",12,6. Appraisal Report Extraordinary Assumptions and/or Hypothetical Conditions (2-2(a)(xiii)),t
71,"Are there any extraordinary assumptions or hypothetical conditions used in the review report itself? If yes, list them.",22,7. Review Report Extraordinary Assumptions and/or Hypothetical Conditions (4-2(f)),t
72,"Are there any negative property risk factors including any notable physical, functional, or external obsolescence? Provide details if yes.",13,8. Risk Assessment,t
73,"Are there any negative market risk factors including declining values, oversupply, or extended marketing times? Provide details if yes.",13,8. Risk Assessment,t
74,"Provide comments or observations regarding the overall risk assessment. Your response must incorporate a SWOT analysis format (Strengths, Weaknesses, Opportunities, and Threats). Specifically, address the following:

- Are there any negative property risk factors, including notable physical, functional, or external obsolescence? If yes, provide details.
- Are there any negative market risk factors, such as declining values, oversupply, or extended marketing times? If yes, provide details.

Ensure the comments highlight both internal (property-specific) and external (market-related) risks, framed within the SWOT structure.",13,8. Risk Assessment,t
76,Are there any deferred maintenance issues or structural concerns mentioned?,13,8. Risk Assessment,t
86,Are facts and statistics analyzed in relation to the subject property and specific assignment?,15,"10. Regional, Neighborhood, and Market Analysis",t
87,"Is the subject location adequately analyzed regarding linkages, land uses, and the direction and rate of neighborhood and city growth?",15,"10. Regional, Neighborhood, and Market Analysis",t
88,Are the subject's market and submarket identified with historical market trends provided and supply/demand discussed at an appropriate level of detail?,15,"10. Regional, Neighborhood, and Market Analysis",t
89,"Is the information in the subject site section complete and relevant (size, zoning compliance, utilities, tax assessments, site conditions)?",16,11. Subject Site and Improvements,t
90,"Are improvements adequately described with sufficient photographs, exhibits, and discussion of deferred maintenance and functional utility?",16,11. Subject Site and Improvements,t
91,What is the year of construction (YOC) and remaining economic life (REL) of the improvements?,21,20. Expanded Appraisal Insights,t
